iter	Passed	Remaining
736	1630	581
737	1632	579
738	1634	577
739	1636	574
740	1641	573
741	1643	571
742	1647	570
743	1649	567
744	1651	565
745	1655	563
746	1657	561
747	1662	560
748	1664	557
749	1666	555
750	1669	553
751	1673	551
752	1676	549
753	1678	547
754	1680	545
755	1683	543
756	1686	541
757	1688	539
758	1690	536
759	1693	534
760	1695	532
761	1697	530
762	1699	528
763	1705	526
764	1707	524
765	1709	522
766	1711	519
767	1714	517
768	1717	515
769	1719	513
770	1721	511
771	1725	509
772	1726	507
773	1729	504
774	1736	504
775	1738	501
776	1740	499
777	1743	497
778	1753	497
779	1755	495
780	1759	493
781	1763	491
782	1765	489
783	1768	487
784	1770	484
785	1773	482
786	1776	480
787	1778	478
788	1787	478
789	1790	475
790	1794	474
791	1796	471
792	1798	469
793	1801	467
794	1804	465
795	1808	463
796	1811	461
797	1812	458
798	1815	456
799	1819	454
800	1822	452
801	1826	450
802	1828	448
803	1831	446
804	1836	444
805	1839	442
806	1841	440
807	1844	438
808	1846	435
809	1848	433
810	1850	431
811	1854	429
812	1856	427
813	1858	424
814	1860	422
815	1863	420
816	1865	417
817	1870	416
818	1878	415
819	1888	414
820	1890	412
821	1892	409
822	1894	407
823	1899	405
824	1901	403
825	1902	400
826	1904	398
827	1907	396
828	1910	394
829	1914	392
830	1917	390
831	1919	387
832	1921	385
833	1923	382
834	1925	380
835	1928	378
836	1930	375
837	1931	373
838	1933	371
839	1935	368
840	1937	366
841	1941	364
842	1944	362
843	1946	359
844	1947	357
845	1949	354
846	1951	352
847	1952	350
848	1955	347
849	1957	345
850	1959	343
851	1961	340
852	1962	338
853	1964	335
854	1966	333
855	1967	331
856	1970	328
857	1974	326
858	1977	324
859	1980	322
860	1983	320
861	1992	318
862	1995	316
863	1999	314
864	2008	313
865	2012	311
866	2018	309
867	2023	307
868	2027	305
869	2033	303
870	2038	301
871	2041	299
872	2047	297
873	2050	295
874	2053	293
875	2057	291
876	2059	288
877	2063	286
878	2067	284
879	2070	282
880	2073	280
881	2075	277
882	2077	275
883	2079	272
884	2081	270
885	2084	268
886	2087	265
887	2089	263
888	2094	261
889	2096	259
890	2098	256
891	2100	254
892	2107	252
893	2109	250
894	2112	247
895	2115	245
896	2117	243
897	2119	240
898	2123	238
899	2125	236
900	2127	233
901	2129	231
902	2131	228
903	2132	226
904	2135	224
905	2138	221
906	2140	219
907	2143	217
908	2145	214
909	2148	212
910	2152	210
911	2155	207
912	2157	205
913	2161	203
914	2165	201
915	2169	198
916	2171	196
917	2173	194
918	2179	192
919	2185	190
920	2187	187
921	2196	185
922	2198	183
923	2200	181
924	2203	178
925	2205	176
926	2207	173
927	2209	171
928	2211	169
929	2213	166
930	2215	164
931	2217	161
932	2219	159
933	2222	157
934	2228	154
935	2237	152
936	2240	150
937	2250	148
938	2252	146
939	2254	143
940	2265	142
941	2267	139
942	2271	137
943	2273	134
944	2275	132
945	2277	129
946	2281	127
947	2289	125
948	2297	123
949	2299	121
950	2303	118
951	2306	116
952	2309	113
953	2312	111
954	2315	109
955	2320	106
956	2322	104
957	2325	101
958	2328	99
959	2330	97
960	2333	94
961	2336	92
962	2339	89
963	2341	87
964	2345	85
965	2348	82
966	2350	80
967	2352	77
968	2355	75
969	2357	72
970	2359	70
971	2362	68
972	2365	65
973	2367	63
974	2369	60
975	2371	58
976	2373	55
977	2375	53
978	2377	50
979	2379	48
980	2382	46
981	2384	43
982	2386	41
983	2388	38
984	2390	36
985	2393	33
986	2395	31
987	2397	29
988	2399	26
989	2402	24
990	2404	21
991	2407	19
992	2412	17
993	2414	14
994	2416	12
995	2419	9
996	2421	7
997	2425	4
998	2429	2
999	2432	0
